distance_km,weather_risk_score,traffic_risk_score,congestion_score,disruptions_count,priority,current_eta_minutes,is_delayed,actual_delay_min,delay_probability,risk_level
364.3,0.2246,0.3786,0.3695,0,medium,639.4,0,0.0,0.2593,low
152.0,0.176,0.274,0.0963,2,high,264.7,0,0.0,0.6016,high
486.8,0.0168,0.3704,0.2601,0,high,564.0,0,0.0,0.4082,medium
550.8,0.0728,0.253,0.297,3,medium,956.0,0,0.0,0.5665,medium
84.1,0.4479,0.2002,0.4001,1,low,140.8,0,0.0,0.4238,medium
128.2,0.369,0.264,0.0672,3,medium,228.3,0,0.0,0.3827,medium
324.8,0.1098,0.5895,0.3694,4,critical,468.8,1,249.2,0.8258,critical
243.3,0.287,0.2114,0.3294,1,medium,396.4,0,0.0,0.3347,low
295.6,0.2135,0.2574,0.5005,0,medium,386.1,1,75.5,0.4067,medium
171.7,0.0121,0.3972,0.8594,0,high,208.8,0,0.0,0.3688,medium
529.3,0.232,0.6373,0.1218,0,high,915.3,0,0.0,0.5319,medium
495.5,0.3984,0.1581,0.0916,2,medium,654.8,1,186.8,0.4661,medium
312.0,0.34,0.2198,0.3957,1,high,373.1,1,98.5,0.4382,medium
621.9,0.5685,0.4815,0.2541,1,low,758.6,0,0.0,0.5288,medium
405.0,0.2088,0.2493,0.0929,0,high,602.8,0,0.0,0.3775,medium
171.0,0.309,0.2541,0.6567,0,medium,208.9,1,61.5,0.3049,low
379.8,0.2528,0.3865,0.1027,4,high,681.6,1,286.1,0.6829,high
160.2,0.2087,0.3188,0.3272,0,low,257.1,0,0.0,0.2509,low
529.0,0.1093,0.7003,0.5409,0,high,829.8,0,0.0,0.4059,medium
289.3,0.2358,0.2929,0.1533,1,high,371.6,1,83.2,0.4053,medium
265.0,0.3493,0.4022,0.2546,4,medium,398.6,1,190.1,0.6943,high
192.0,0.5335,0.4076,0.1239,0,high,238.6,0,0.0,0.1865,low
661.6,0.2938,0.4797,0.0755,0,medium,796.8,1,142.6,0.4412,medium
270.3,0.6102,0.5917,0.0736,0,medium,351.1,0,0.0,0.406,medium
226.2,0.2615,0.2834,0.3248,0,medium,258.4,0,0.0,0.2075,low
237.7,0.3593,0.1364,0.0844,2,medium,350.1,0,0.0,0.4198,medium
422.4,0.1923,0.2427,0.3449,0,high,546.4,0,0.0,0.2959,low
379.0,0.1539,0.43,0.1061,1,medium,429.0,0,0.0,0.3977,medium
390.8,0.5751,0.2028,0.4292,0,medium,661.5,0,0.0,0.3357,low
395.5,0.2524,0.3588,0.3306,0,medium,441.8,1,74.5,0.3712,medium
1202.4,0.1121,0.2111,0.2553,0,medium,1518.7,0,0.0,0.3189,low
229.5,0.6303,0.2643,0.5475,0,high,312.9,0,0.0,0.4682,medium
214.2,0.257,0.0444,0.3146,0,medium,328.6,0,0.0,0.2637,low
176.1,0.2209,0.4713,0.4156,5,critical,258.6,1,204.7,0.7778,high
446.0,0.0579,0.3218,0.1476,0,low,698.8,0,0.0,0.1928,low
622.6,0.3982,0.1367,0.3504,0,critical,1064.9,1,74.0,0.2365,low
277.5,0.486,0.1295,0.1694,2,medium,442.0,1,145.9,0.5088,medium
173.1,0.4369,0.2962,0.4676,0,low,234.5,0,0.0,0.3324,low
174.9,0.3356,0.0962,0.2102,0,low,236.9,0,0.0,0.2319,low
456.2,0.2259,0.6033,0.4236,1,low,552.7,1,146.4,0.4529,medium
484.5,0.2931,0.5869,0.3473,0,high,666.0,0,0.0,0.4865,medium
425.4,0.2062,0.7381,0.0178,1,low,622.0,0,0.0,0.4806,medium
193.9,0.2886,0.5501,0.2953,3,high,217.7,1,163.1,0.5146,medium
347.5,0.3614,0.2086,0.0595,0,medium,598.1,0,0.0,0.1516,low
322.4,0.3248,0.3105,0.2646,1,medium,450.3,0,0.0,0.3825,medium
344.5,0.3849,0.4634,0.1126,4,critical,471.2,1,181.6,0.5687,medium
526.6,0.0924,0.0466,0.2041,0,low,688.8,0,0.0,0.0698,low
345.6,0.0487,0.2403,0.7687,0,medium,513.0,0,0.0,0.3308,low
464.7,0.4737,0.0813,0.2212,0,medium,730.7,1,50.1,0.2215,low
312.3,0.564,0.1596,0.0252,2,high,360.2,1,148.9,0.5069,medium
360.7,0.3363,0.6047,0.1631,0,high,619.3,0,0.0,0.3744,medium
450.5,0.25,0.1443,0.2477,1,critical,762.3,0,0.0,0.4724,medium
115.9,0.3345,0.2887,0.14,0,medium,164.4,0,0.0,0.1117,low
242.8,0.3974,0.0875,0.4783,3,low,275.6,1,151.8,0.6335,high
220.1,0.4257,0.3946,0.405,0,high,289.1,0,0.0,0.359,medium
197.3,0.1784,0.36,0.06,3,high,309.9,0,0.0,0.5817,medium
249.9,0.2176,0.5469,0.1557,1,high,388.7,0,0.0,0.4035,medium
789.7,0.2615,0.1692,0.2127,2,low,872.9,1,166.3,0.4205,medium
170.2,0.567,0.4438,0.4599,0,low,222.0,0,0.0,0.3292,low
560.8,0.4923,0.6093,0.2117,1,medium,672.7,0,0.0,0.5963,medium
100.1,0.2952,0.5959,0.4391,0,high,137.7,0,0.0,0.4469,medium
240.4,0.2198,0.3867,0.4003,1,medium,396.0,0,0.0,0.3534,medium
332.2,0.113,0.5481,0.0787,0,medium,493.3,0,0.0,0.243,low
437.5,0.4551,0.1973,0.3714,2,low,660.8,0,0.0,0.4462,medium
474.5,0.0555,0.437,0.1031,0,medium,526.8,1,98.8,0.4,medium
500.5,0.6353,0.4009,0.2712,1,high,761.8,1,215.5,0.6642,high
238.3,0.3511,0.1707,0.2247,1,medium,311.9,1,39.2,0.3273,low
221.3,0.4658,0.1511,0.1047,2,high,311.8,0,0.0,0.4064,medium
522.0,0.4948,0.349,0.2458,0,medium,689.7,1,172.4,0.6106,high
263.9,0.5771,0.44,0.4573,4,medium,411.3,1,259.2,0.8345,critical
130.4,0.2247,0.3741,0.2762,1,medium,174.4,0,0.0,0.3559,medium
143.1,0.2603,0.5137,0.565,4,medium,200.0,1,163.4,0.7974,high
164.4,0.4713,0.1307,0.136,2,medium,258.8,0,0.0,0.3775,medium
412.9,0.3555,0.375,0.2157,0,medium,466.7,0,0.0,0.4365,medium
327.9,0.3387,0.4105,0.4612,5,low,407.8,1,225.6,0.9006,critical
468.2,0.0929,0.5761,0.4754,0,medium,722.6,0,0.0,0.3423,low
226.4,0.304,0.3254,0.5108,4,medium,284.2,1,167.4,0.5782,medium
331.3,0.0474,0.4337,0.2498,1,high,559.4,0,0.0,0.4522,medium
448.8,0.0582,0.5462,0.0965,0,medium,617.8,1,113.7,0.358,medium
244.4,0.4373,0.2757,0.2754,1,low,397.3,1,100.1,0.4491,medium
402.2,0.2949,0.3493,0.0774,0,medium,566.3,0,0.0,0.1354,low
194.4,0.3398,0.4001,0.6455,4,low,280.6,1,179.9,0.7877,high
236.0,0.3535,0.3295,0.4831,1,critical,277.8,0,0.0,0.4755,medium
233.2,0.5579,0.2214,0.2525,3,high,256.7,0,0.0,0.7102,high
137.4,0.247,0.468,0.4363,2,medium,161.7,1,113.6,0.5723,medium
410.2,0.1709,0.1174,0.1445,1,medium,542.0,0,0.0,0.1201,low
220.3,0.4585,0.359,0.1706,0,high,325.0,0,0.0,0.4475,medium
301.3,0.093,0.3847,0.3591,2,low,430.3,0,0.0,0.3544,medium
408.5,0.3668,0.3366,0.2883,1,high,469.1,1,145.8,0.5824,medium
399.5,0.1957,0.4368,0.1134,1,medium,504.7,0,0.0,0.2957,low
460.6,0.1569,0.4048,0.2972,1,critical,593.7,1,146.4,0.4535,medium
280.3,0.3244,0.2754,0.482,2,high,457.4,0,0.0,0.4491,medium
227.0,0.2349,0.3373,0.405,0,critical,329.8,0,0.0,0.325,low
283.8,0.12,0.3207,0.2455,2,high,431.5,0,0.0,0.4434,medium
99.8,0.1321,0.4046,0.1815,0,low,163.8,0,0.0,0.3452,low
116.7,0.2651,0.2615,0.2575,1,medium,186.9,0,0.0,0.3933,medium
126.5,0.6758,0.1664,0.1031,0,medium,182.6,1,33.8,0.4337,medium
