distance_km,estimated_time_min,weather_risk,traffic_risk,disruption_risk,cost,route_score
302.9,381.5,0.288,0.5691,0.1295,495.0,0.8048
118.2,120.6,0.4585,0.549,0.3552,279.46,0.7301
413.8,704.0,0.2869,0.3091,0.0233,1401.99,0.869
472.7,750.9,0.2271,0.4181,0.2419,1647.82,0.7649
62.4,120.8,0.3071,0.2839,0.223,202.68,0.8708
98.3,182.3,0.0345,0.4894,0.3443,169.55,0.8923
267.6,437.0,0.1658,0.4333,0.0969,709.08,0.8009
196.1,194.8,0.4205,0.2519,0.2048,761.74,0.8196
241.8,333.7,0.0936,0.5129,0.0497,484.88,0.8392
134.7,126.9,0.0038,0.4123,0.057,452.35,0.8927
452.9,660.8,0.1336,0.0809,0.219,866.99,0.907
421.8,801.4,0.3019,0.4063,0.1774,881.26,0.9363
256.3,206.2,0.0974,0.5129,0.0762,825.11,0.8726
538.7,997.2,0.4722,0.2057,0.3084,1460.58,0.7135
339.4,491.2,0.497,0.4648,0.1167,1191.73,0.8894
134.1,131.6,0.2584,0.7497,0.0551,306.64,0.7446
316.8,578.7,0.425,0.4361,0.245,802.45,0.6488
125.1,180.6,0.3637,0.4892,0.3322,233.51,0.8147
452.6,605.4,0.3731,0.6616,0.0797,1758.72,0.7493
236.3,330.7,0.3167,0.3493,0.323,541.26,0.8258
215.0,210.0,0.3631,0.7962,0.0366,364.56,0.7632
151.9,142.1,0.4549,0.2177,0.0143,328.18,0.878
575.8,917.8,0.2398,0.3268,0.0205,2038.97,0.796
219.6,407.7,0.4058,0.1144,0.3007,469.68,0.8876
181.3,296.1,0.1475,0.4465,0.1881,590.43,0.7334
191.2,345.9,0.3693,0.1638,0.23,686.55,0.8066
355.2,644.2,0.3146,0.6064,0.4556,632.02,0.7212
316.0,265.0,0.5008,0.3713,0.0617,1114.34,0.8104
326.7,563.5,0.2522,0.654,0.2994,1099.88,0.7435
330.8,571.2,0.1642,0.3069,0.3207,755.62,0.8161
1095.7,1336.7,0.0923,0.6057,0.0524,2100.98,0.7855
184.1,237.8,0.2901,0.4151,0.2207,334.59,0.8055
171.0,289.7,0.4361,0.2284,0.09,387.1,0.9111
138.4,274.6,0.4795,0.3209,0.2731,270.79,0.7641
376.6,747.7,0.0968,0.3574,0.3104,873.56,0.8142
539.3,738.1,0.3319,0.3832,0.0809,1705.95,0.8003
225.9,394.8,0.5822,0.372,0.0178,655.57,0.8562
135.9,184.7,0.2717,0.2365,0.3626,381.79,0.8987
137.4,252.7,0.3444,0.0774,0.0467,503.82,0.9377
385.8,609.5,0.342,0.4466,0.1007,1045.4,0.8236
411.7,792.1,0.284,0.4815,0.1041,875.04,0.9239
357.9,714.6,0.0296,0.4175,0.1174,1077.56,0.8097
153.6,183.7,0.5529,0.2157,0.0612,485.44,0.845
287.9,568.6,0.2206,0.6343,0.2097,921.62,0.8591
265.5,433.1,0.1513,0.4077,0.1043,619.85,0.8052
285.2,309.6,0.2417,0.3978,0.0481,823.51,0.8049
450.3,362.0,0.1723,0.1744,0.0367,1657.32,0.9305
286.2,463.7,0.3531,0.5503,0.255,520.0,0.7498
393.6,419.9,0.2862,0.3751,0.2065,663.46,0.751
256.5,276.5,0.4528,0.7624,0.2509,493.47,0.6955
299.6,438.2,0.4632,0.1974,0.0232,1033.61,0.8692
380.7,318.7,0.2395,0.5409,0.3643,1160.75,0.6924
