type,type_encoded,severity,affected_radius_km,hour,impacted_shipments,delay_min
weather,0,1.01,91.39,8.0,34,80
vehicle_issue,3,7.87,120.0,6.0,16,68
blockage,2,3.07,7.55,0.0,6,55
congestion,1,8.03,29.65,2.0,33,98
congestion,1,5.97,72.08,4.0,40,110
vehicle_issue,3,3.08,51.82,2.0,6,27
weather,0,4.73,79.92,22.0,33,86
blockage,2,1.0,71.09,0.0,13,101
weather,0,7.87,92.93,9.0,59,157
weather,0,3.88,10.3,23.0,13,38
blockage,2,3.98,53.12,2.0,15,128
vehicle_issue,3,1.86,101.72,15.0,10,39
blockage,2,4.25,44.0,6.0,13,117
vehicle_issue,3,4.07,61.72,7.0,8,34
blockage,2,2.88,5.18,10.0,5,52
vehicle_issue,3,9.74,26.98,13.0,10,48
blockage,2,2.91,55.54,18.0,14,115
weather,0,1.95,48.35,14.0,18,45
vehicle_issue,3,5.9,88.63,0.0,12,50
congestion,1,4.38,75.81,4.0,34,92
blockage,2,4.75,106.65,15.0,25,207
congestion,1,8.01,103.49,6.0,55,151
weather,0,1.0,29.23,1.0,10,26
vehicle_issue,3,5.96,4.26,13.0,5,25
vehicle_issue,3,1.0,101.21,7.0,9,35
blockage,2,1.0,40.92,20.0,8,64
congestion,1,1.03,39.25,21.0,16,40
vehicle_issue,3,2.11,17.34,3.0,3,14
blockage,2,4.07,80.6,18.0,20,164
congestion,1,10.0,37.12,20.0,40,121
congestion,1,9.69,21.76,15.0,37,112
weather,0,1.96,58.87,14.0,21,53
weather,0,10.0,93.96,11.0,49,134
blockage,2,7.16,31.94,11.0,16,152
vehicle_issue,3,5.78,87.69,1.0,12,50
weather,0,8.01,54.83,3.0,35,98
vehicle_issue,3,4.84,50.19,16.0,8,35
vehicle_issue,3,2.94,43.78,13.0,6,25
congestion,1,6.3,17.18,4.0,23,71
blockage,2,8.14,38.6,8.0,19,217
weather,0,6.77,104.54,15.0,46,119
vehicle_issue,3,1.89,11.69,4.0,3,12
blockage,2,10.0,112.36,5.0,34,348
congestion,1,2.96,14.9,21.0,13,39
weather,0,9.05,45.77,10.0,35,98
vehicle_issue,3,3.88,72.18,11.0,9,38
congestion,1,1.0,97.58,1.0,33,82
vehicle_issue,3,9.88,18.64,1.0,9,45
blockage,2,5.94,18.03,15.0,12,117
vehicle_issue,3,3.11,74.3,7.0,8,35
vehicle_issue,3,1.04,35.71,6.0,4,15
weather,0,1.89,73.56,4.0,25,63
congestion,1,2.17,98.61,18.0,46,117
congestion,1,10.0,9.87,22.0,33,103
congestion,1,2.0,103.49,6.0,36,92
weather,0,1.96,5.88,5.0,7,19
blockage,2,9.26,108.14,18.0,32,319
weather,0,9.24,120.0,12.0,54,142
blockage,2,2.77,79.21,19.0,18,144
blockage,2,7.18,115.86,17.0,30,254
vehicle_issue,3,6.26,100.17,19.0,13,54
blockage,2,6.1,7.87,3.0,11,104
congestion,1,3.93,3.1,12.0,12,39
vehicle_issue,3,7.95,3.15,10.0,7,33
congestion,1,9.26,53.73,20.0,43,126
congestion,1,8.13,73.34,15.0,47,131
vehicle_issue,3,10.0,56.97,17.0,13,57
congestion,1,2.35,79.34,21.0,30,78
weather,0,6.85,53.84,16.0,32,89
congestion,1,9.99,8.59,15.0,32,100
vehicle_issue,3,6.03,27.08,12.0,7,32
weather,0,9.97,119.29,1.0,57,151
congestion,1,3.72,43.02,17.0,32,89
weather,0,9.15,39.06,7.0,44,124
blockage,2,9.89,18.65,2.0,19,233
congestion,1,6.88,120.0,8.0,74,198
congestion,1,7.95,28.68,8.0,42,126
weather,0,5.97,79.69,9.0,47,123
blockage,2,3.98,9.58,6.0,7,71
blockage,2,6.14,7.6,22.0,11,107
